,0,1,2,3,4,5,6,7,8,9
pdb1HYS.mtx,22.049672,21.882101,18.719734,18.301876,18.614289,18.202518,18.650091,18.357713,18.718944,18.333687
jnlbrng1.mtx,0.615059,0.47422,0.358728,0.338704,0.354673,0.338358,0.339831,0.346138,0.339292,0.33768
obstclae.mtx,0.380706,0.402893,0.33696,0.35055,0.333573,0.33718,0.359918,0.336474,0.335781,0.345047
chem_master1.mtx,0.466399,0.486904,0.358581,0.343382,0.341746,0.330443,0.353351,0.33049,0.339437,0.340352
rma10.mtx,10.754386,13.154737,10.53125,10.300202,6.665526,6.833335,6.651396,6.816042,6.679077,6.804454
dixmaanl.mtx,0.6538,2.681982,1.648641,0.647516,0.54885,0.527999,0.543631,0.526113,0.545675,0.524356
cant.mtx,13.995773,19.65793,11.186697,16.132852,10.884017,10.214423,10.976536,10.227702,10.919181,10.25087
consph.mtx,16.850266,17.05274,16.75364,16.959645,16.474795,16.635829,16.356315,16.587269,16.348201,16.553404
denormal.mtx,3.224232,3.551765,3.2071,2.965212,3.210454,2.958624,3.182634,2.929242,3.15332,2.938073
Baumann.mtx,1.752996,1.895158,1.70609,1.799996,1.615554,1.749211,1.582067,1.747931,1.565153,1.737079
cop20k_A.mtx,6.695175,8.802744,6.673595,7.290249,6.653653,7.340846,6.702266,7.372789,6.662459,7.371108
shipsec1.mtx,21.389574,32.277554,21.551483,31.854664,21.45379,32.10176,21.478263,32.156335,21.354961,31.94903
mac_econ_fwd500.mtx,5.036698,3.519128,3.46794,3.429638,3.396432,3.427744,3.402919,3.412047,3.385684,3.402124
pwtk.mtx,55.975842,56.188206,56.096167,56.032388,56.289772,55.899998,56.348801,56.099796,56.029663,55.641612
Lin.mtx,5.643901,5.070793,4.734147,5.057885,4.736693,5.059826,4.717837,5.044036,4.70346,5.055273
ecology1.mtx,18.07429,18.219304,13.627513,14.948376,13.671204,14.909324,13.648446,14.917306,13.582838,14.899246
webbase-1M.mtx,9.66033,9.916462,9.576249,9.541428,9.690407,9.914603,9.773725,9.912999,9.71745,9.881226
atmosmodd.mtx,31.406468,44.048163,30.071972,37.737923,25.215623,37.96636,25.165049,37.8927,25.225716,38.019145
